Date,Open,High,Low,Close,Adj Close,Volume
2011-08-18,31524.0,35544.0,31472.0,34784.0,34784.0,2118
2011-08-19,37024.0,37040.0,34380.0,36540.0,36540.0,1931
2011-08-22,34496.0,38096.0,34424.0,37652.0,37652.0,1232
2011-08-23,37616.0,38380.0,35680.0,35852.0,35852.0,684
2011-08-24,35800.0,36160.0,34096.0,35124.0,35124.0,516
2011-08-25,34160.0,36704.0,33720.0,35848.0,35848.0,1601
2011-08-26,37096.0,37784.0,34632.0,35244.0,35244.0,597
2011-08-29,33944.0,34020.0,33028.0,33028.0,33028.0,680
2011-08-30,33596.0,34272.0,32944.0,33424.0,33424.0,685
2011-08-31,33080.0,33836.0,32428.0,33484.0,33484.0,1043
2011-09-01,33496.0,33928.0,32384.0,33908.0,33908.0,286
2011-09-02,35528.0,35964.0,35040.0,35616.0,35616.0,510
2011-09-06,38856.0,38856.0,36652.0,36672.0,36672.0,690
2011-09-07,35612.0,35960.0,35216.0,35340.0,35340.0,509
2011-09-08,35888.0,36176.0,34728.0,35916.0,35916.0,558
2011-09-09,36992.0,39800.0,36812.0,39336.0,39336.0,534
2011-09-12,41232.0,42104.0,39592.0,39720.0,39720.0,593
2011-09-13,39348.0,40516.0,39176.0,39288.0,39288.0,730
2011-09-14,38772.0,40232.0,37368.0,38252.0,38252.0,472
2011-09-15,37400.0,37736.0,36336.0,36336.0,36336.0,393
2011-09-16,36136.0,36892.0,35456.0,35608.0,35608.0,537
2011-09-19,37312.0,37976.0,36392.0,36812.0,36812.0,918
2011-09-20,36204.0,36904.0,35472.0,36772.0,36772.0,546
2011-09-21,36520.0,38768.0,36164.0,38768.0,38768.0,1444
2011-09-22,42056.0,43968.0,41000.0,42680.0,42680.0,1214
2011-09-23,43068.0,43784.0,42168.0,43120.0,43120.0,584
2011-09-26,42384.0,43936.0,41536.0,41620.0,41620.0,491
2011-09-27,39744.0,41236.0,38956.0,40832.0,40832.0,1394
2011-09-28,40408.0,43508.0,40028.0,43440.0,43440.0,541
2011-09-29,41992.0,44740.0,41592.0,42680.0,42680.0,543
2011-09-30,44392.0,45896.0,43600.0,45808.0,45808.0,809
2011-10-03,46716.0,48824.0,45584.0,48780.0,48780.0,1324
2011-10-04,49968.0,50696.0,45080.0,45380.0,45380.0,1684
2011-10-05,44696.0,45448.0,42888.0,43064.0,43064.0,904
2011-10-06,43296.0,44024.0,42280.0,42344.0,42344.0,483
2011-10-07,41520.0,43840.0,41488.0,43112.0,43112.0,1126
2011-10-10,41320.0,41400.0,39968.0,39984.0,39984.0,476
2011-10-11,40472.0,40472.0,39220.0,39508.0,39508.0,321
2011-10-12,38064.0,38244.0,36104.0,36840.0,36840.0,685
2011-10-13,37280.0,38324.0,36648.0,36768.0,36768.0,496
2011-10-14,35172.0,36000.0,34560.0,34628.0,34628.0,384
2011-10-17,34800.0,38428.0,34764.0,38288.0,38288.0,537
2011-10-18,38324.0,39592.0,35552.0,36776.0,36776.0,642
2011-10-19,36592.0,40020.0,36216.0,39284.0,39284.0,844
2011-10-20,39544.0,41276.0,39116.0,39660.0,39660.0,582
2011-10-21,38184.0,38788.0,37404.0,37492.0,37492.0,476
2011-10-24,36996.0,36996.0,35112.0,35196.0,35196.0,509
2011-10-25,35628.0,37784.0,35628.0,37480.0,37480.0,679
2011-10-26,36028.0,38752.0,35856.0,35924.0,35924.0,493
2011-10-27,32316.0,33004.0,30960.0,31208.0,31208.0,595
2011-10-28,31756.0,32104.0,30764.0,30952.0,30952.0,179
2011-10-31,32356.0,34288.0,32120.0,34236.0,34236.0,574
2011-11-01,39500.0,40348.0,37896.0,39296.0,39296.0,1205
2011-11-02,37848.0,39360.0,37672.0,38068.0,38068.0,362
2011-11-03,36952.0,39276.0,36072.0,36276.0,36276.0,429
2011-11-04,37152.0,38300.0,36304.0,36956.0,36956.0,393
2011-11-07,37092.0,38100.0,36580.0,36612.0,36612.0,311
2011-11-08,36120.0,37144.0,34860.0,34904.0,34904.0,540
2011-11-09,37536.0,41700.0,37120.0,41424.0,41424.0,1076
2011-11-10,39012.0,41160.0,38696.0,38880.0,38880.0,753
2011-11-11,37340.0,37488.0,36760.0,37180.0,37180.0,514
2011-11-14,37768.0,38792.0,37648.0,38124.0,38124.0,390
2011-11-15,38836.0,39104.0,37296.0,37728.0,37728.0,473
2011-11-16,38960.0,39800.0,37472.0,39532.0,39532.0,580
2011-11-17,39900.0,42208.0,39544.0,41492.0,41492.0,886
